Site,Season,Tide,Variables,mean_vals,var_vals,sd_vals
BP,FALL,High,TA,2254.4739215,241.98202967850122,15.55577158737236
BP,FALL,High,Temp_in,27.7785684965,0.157397755715997,0.39673386005733996
BP,FALL,High,pH,8.1507,0.002683589473684196,0.05180337318827989
BP,FALL,Low,TA,2278.93793705,993.3634949729794,31.517669567608888
BP,FALL,Low,Temp_in,26.9585728085,0.06768435329012427,0.2601621672921032
BP,FALL,Low,pH,8.03015,0.0031862394736842186,0.056446784440605816
BP,SPRING,High,TA,2230.9981927894737,1019.1347010346069,31.92388919030084
BP,SPRING,High,Temp_in,26.06248931105263,0.14470786091563592,0.3804048644742019
BP,SPRING,High,pH,8.255526315789474,0.003198374269005833,0.056554171101748395
BP,SPRING,Low,TA,2299.1482817333335,4599.14856910068,67.81702270890901
BP,SPRING,Low,Temp_in,24.462757268666667,0.12718752624794175,0.35663360224177104
BP,SPRING,Low,pH,8.099933333333333,0.0025719238095237994,0.05071413816209243
W,FALL,High,TA,2235.6944293,170.6728077309352,13.064180331384561
W,FALL,High,Temp_in,27.445421451,0.13395200227438317,0.36599453858545916
W,FALL,High,pH,8.145199999999999,8.611157894736842e-4,0.02934477448326506
W,FALL,Low,TA,2241.7136795,537.0446328399197,23.174223457106812
W,FALL,Low,Temp_in,26.1163045375,0.5563723100100395,0.745903686818908
W,FALL,Low,pH,8.091149999999999,0.00201876578947369,0.04493067759864845
W,SPRING,High,TA,2267.3342550454545,461.6229800647852,21.48541319278699
W,SPRING,High,Temp_in,25.43258349863636,0.12180646116330514,0.34900782392849755
W,SPRING,High,pH,8.082636363636365,5.016709956709974e-4,0.02239801320811731
W,SPRING,Low,TA,2243.2024587727274,2373.116708608831,48.71464573009672
W,SPRING,Low,Temp_in,24.044371593636363,0.2717277160969712,0.5212750867794961
W,SPRING,Low,pH,7.970863636363636,0.001023837662337666,0.03199746337348737
